spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",1,0,0,,2/5/25,100,FALSE,251667,Die With A Smile,8/16/24,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,2,0,0,,2/5/25,98,TRUE,237117,DeBÍ TiRAR MáS FOToS,1/5/25,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSE, Bruno Mars",3,0,0,,2/5/25,91,FALSE,169917,rosie,12/6/24,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,4,0,1,,2/5/25,96,FALSE,210373,HIT ME HARD AND SOFT,5/17/24,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,5,3,45,,2/5/25,75,FALSE,223398,Abracadabra,2/3/25,0.68,0.909,10,-3.487,0,0.0624,0.0121,0,0.222,0.633,126.004,4
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,6,0,-2,,2/5/25,96,TRUE,367725,DeBÍ TiRAR MáS FOToS,1/5/25,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,7,-2,0,,2/5/25,96,TRUE,166300,The Secret of Us (Deluxe),10/18/24,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",8,-1,42,,2/5/25,78,TRUE,256000,Hurry Up Tomorrow,1/31/25,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96E-06,0.138,0.6,119.999,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",9,2,1,,2/5/25,88,FALSE,177598,GNX,11/21/24,0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,10,3,6,,2/5/25,92,FALSE,261466,HIT ME HARD AND SOFT,5/17/24,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,11,-2,-3,,2/5/25,86,TRUE,284066,This Wasn't Meant For You Anyway,6/21/24,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
